ADE2	72.71095199999999
RegX3	621.1845199999998
SenX3	90.988241
adk	792.130001
cmk	905.0634019999995
dcd	112.33544499999998
deoB	65.68147800000001
dut	260.74242300000003
gcd	11.393889
gdh	253.15381200000002
glpQ	339.9101799999999
glpT	9.812496
gmk	208.13741800000005
gnd	341.27147300000007
gnl	946.7550509999999
gntK	294.885099
guaA	645.3982600000004
guaB	917.8385119999999
lysR	107.507663
ndk	332.11455099999995
nrdA	101.00732500000002
nrdB	10.802625
nrdD	59.20600699999999
nrdE	1.549428
nrdF	1.806396
nrdJ	296.462617
opd	42.643016
pbfA	312.207289
pckA	67.384738
pckG	196.05000899999996
pepM	113.98117
pgtA	41.09371099999999
pgtB	15.628696000000001
pgtC	10.618379999999998
phnA	13.134895
phnC	32.447711
phnD	16.255482
phnD_phosphite	5.107161
phnE	46.751328
phnF	44.260752
phnI	49.756749
phnM	15.96106
phnO	12.616716
phnP	136.21113300000005
phnPP	115.344317
phnS	2.150728
phnU	2.285758
phnV	10.284996
phnW	145.416782
phnX	31.726828
phnY	2.331956
phny	15.447168999999999
phoA	47.361485
phoB	3546.981734999998
phoC	5.339305
phoD	41.096004
phoH	153.74900999999994
phoN	18.172533
phoP	1682.0623619999994
phoR	1500.9914949999995
phoU	225.73695899999998
phoX	54.139992
phpC	78.026329
phy	89.502947
pit	171.21953299999998
ppa	94.65653999999998
ppc	26.476885
ppdK	291.46288499999997
pphA	11.930093
ppk	69.68101600000001
pps	362.62627
ppx	81.588795
prsA	605.2280760000003
pstA	207.478817
pstB	351.4532099999999
pstC	145.782214
pstS	998.242900000001
ptsH	485.791685
ptsI	291.18888400000003
ptxB	30.374645
ptxD	184.50896500000002
purA	196.849848
purB	258.83639400000004
purC	294.92469700000004
purD	318.477031
purE	230.39224199999998
purF	525.7296670000002
purH	337.9918520000001
purK	74.933551
purL	187.44671799999995
purM	226.98593600000007
purN	181.88505399999997
purP	24.309434999999997
purQ	105.64868099999998
purS	30.816271
purT	7.474047
pyk	390.2600860000002
pyrE	209.79999399999997
pyrF	186.347003
pyrG	369.27450000000016
pyrH	279.107765
rpiA	196.160688
rtpR	118.2783
spoT	356.9717250000001
thyA	268.4858550000001
tmk	600.354318
ugpA	501.89956000000006
ugpB	53.53115
ugpC	611.42495
ugpE	452.930315
ugpQ	57.51197000000001
ushA	76.138674
